Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GarageCars,SalePrice
44,20,RL,NA,9200,Pave,NA,IR1,Lvl,AllPub,CulDSac,CollgCr,1Fam,1Story,5,6,1975,1980,1,130250
45,20,RL,70,7945,Pave,NA,Reg,Lvl,AllPub,"""""",NAmes,1Fam,1Story,5,6,1959,1959,1,141000
46,120,RL,61,7658,Pave,NA,Reg,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,9,5,2005,2005,2,319900
47,50,RL,48,12822,Pave,NA,IR1,Lvl,AllPub,CulDSac,Mitchel,1Fam,1.5Fin,7,5,-1,2003,2,239686
48,20,FV,84,11096,Pave,NA,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,,5,2006,2006,3,249700
49,190,RM,33,4456,Pave,NA,Reg,Lvl,AllPub,Inside,OldTown,2fmCon,2Story,4,5,1920,2008,0,113000
50,20,RL,66,7742,Pave,NA,Reg,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,5,7,1966,1966,1,127000
51,60,RL,NA,13869,Pave,NA,IR2,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,6,6,1997,1997,2,177000
52,50,RM,52,6240,Pave,NA,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,n/a,6,6,1934,1950,2,114500
53,90,RM,110,8472,Grvl,NA,IR2,Bnk,AllPub,Corner,IDOTRR,Duplex,1Story,5,5,1963,1963,2,110000
54,20,RL,68,50271,Pave,NA,IR1,Low,AllPub,Inside,Veenker,1Fam,1Story,9,5,1981,1987,3,385000
55,80,RL,60,7134,Pave,NA,Reg,Bnk,AllPub,Inside,NAmes,1Fam,SLvl,5,5,1955,1955,2,130000
56,20,RL,100,10175,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,6,5,1964,1964,2,180500
57,160,FV,24,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Somerst,Twnhs,2Story,8,5,1999,2000,2,172500
58,60,RL,89,11645,Pave,NA,IR1,Lvl,AllPub,Corner,CollgCr,1Fam,2Story,7,5,2004,2004,2,196500
59,60,RL,66,13682,Pave,NA,IR2,HLS,AllPub,CulDSac,StoneBr,1Fam,2Story,10,5,2006,2006,3,438780
60,20,RL,60,7200,Pave,NA,Reg,Bnk,AllPub,Inside,CollgCr,1Fam,1Story,5,7,1972,1972,1,124900
61,20,RL,63,13072,Pave,NA,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,1Story,6,5,2004,2004,2,158000
62,75,RM,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,2.5Unf,5,7,1920,1996,1,101000
63,120,RL,44,6442,Pave,NA,IR1,Lvl,AllPub,Inside,NridgHt,TwnhsE,1Story,8,5,2006,2006,2,202500
64,70,RM,50,10300,Pave,NA,IR1,Bnk,AllPub,Inside,OldTown,1Fam,2Story,7,6,1921,1950,2,140000
65,60,RL,NA,9375,Pave,NA,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,7,5,1997,1998,2,219500
66,60,RL,76,9591,Pave,NA,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,8,5,2004,2005,3,317000
67,20,RL,NA,19900,Pave,NA,Reg,Lvl,AllPub,"""""",NAmes,1Fam,1Story,7,5,1970,1989,2,180000
68,20,RL,72,10665,Pave,NA,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,7,5,2003,2003,2,226000
69,30,RM,47,4608,Pave,NA,Reg,Lvl,AllPub,Corner,OldTown,1Fam,1Story,,6,-1,1950,1,80000
70,50,RL,81,15593,Pave,NA,Reg,Lvl,AllPub,Corner,ClearCr,1Fam,1.5Fin,7,4,1953,1953,2,225000
71,20,RL,95,13651,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,7,6,1973,1973,2,244000
72,20,RL,69,7599,Pave,NA,Reg,Lvl,AllPub,Corner,Mitchel,1Fam,1Story,4,,1982,2006,2,129500
73,60,RL,74,10141,Pave,NA,IR1,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,7,5,1998,1998,2,185000
74,20,RL,85,-1,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5,7,1954,2003,2,144900
75,50,RM,60,5790,Pave,NA,Reg,Lvl,AllPub,Corner,OldTown,1Fam,2Story,3,6,1915,1950,1,107400
76,180,RM,21,1596,Pave,NA,Reg,Lvl,AllPub,Inside,MeadowV,Twnhs,SLvl,4,5,1973,1973,1,91000
77,20,RL,NA,8475,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,4,7,-1,1956,1,135750
78,50,RM,50,8635,Pave,NA,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,1.5Fin,5,5,1948,2001,1,127000
79,90,RL,72,10778,Pave,NA,Reg,Lvl,AllPub,Inside,Sawyer,Duplex,1Story,4,5,1968,1968,0,136500
80,50,RM,60,10440,Pave,Grvl,Reg,Lvl,AllPub,Corner,OldTown,1Fam,2Story,5,6,1910,1981,2,110000
81,60,RL,100,13000,Pave,NA,Reg,Lvl,AllPub,Corner,NAmes,1Fam,2Story,6,6,1968,1968,1,193500
82,120,RM,32,4500,Pave,NA,Reg,Lvl,AllPub,FR2,Mitchel,TwnhsE,1Story,6,5,1998,1998,2,153500
83,20,RL,78,10206,Pave,NA,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,8,5,-1,2007,3,245000
84,20,RL,80,8892,Pave,NA,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5,5,1960,1960,2,126500
85,80,RL,NA,8530,Pave,NA,IR1,Lvl,AllPub,Inside,Gilbert,1Fam,SLvl,7,5,1995,1996,2,168500
86,60,RL,121,16059,Pave,NA,Reg,Lvl,AllPub,Corner,NoRidge,1Fam,2Story,8,5,1991,1992,2,260000
87,60,RL,122,11911,Pave,NA,IR2,Lvl,AllPub,Inside,Gilbert,1Fam,2Story,6,5,2005,2005,2,174000
88,160,FV,40,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Somerst,TwnhsE,2Story,6,5,2009,2009,2,164500
89,50,C (all),105,8470,Pave,NA,IR1,Lvl,AllPub,Corner,IDOTRR,1Fam,1.5Fin,3,2,1915,1982,0,85000
90,20,RL,60,8070,Pave,NA,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,4,5,1994,1995,0,123600
91,20,RL,60,7200,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,4,5,-1,1950,2,109900
92,20,RL,85,8500,Pave,NA,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,5,3,1961,1961,2,98600
93,30,RL,80,13360,Pave,Grvl,IR1,HLS,AllPub,Inside,Crawfor,1Fam,1Story,5,7,1921,2006,2,163500
94,190,C (all),60,7200,Pave,NA,Reg,Lvl,AllPub,Corner,OldTown,2fmCon,2.5Unf,6,6,1910,1998,2,133900
95,60,RL,69,9337,Pave,NA,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,6,5,1997,1997,2,204750
96,60,RL,NA,9765,Pave,NA,IR2,Lvl,AllPub,Corner,Gilbert,1Fam,2Story,6,,1993,1993,2,185000
97,20,RL,78,10264,Pave,NA,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,7,5,1999,1999,2,214000
98,20,RL,73,10921,Pave,NA,Reg,HLS,AllPub,Inside,Edwards,1Fam,1Story,4,5,1965,1965,1,94750
99,30,RL,85,10625,Pave,NA,Reg,Lvl,AllPub,Corner,Edwards,1Fam,1Story,5,5,1920,1950,1,83000
