date,region,product,price,quantity,customer_type,revenue
2025-04-27,North,Tablet,1211,1,New,1211
2025-04-28,South,Tablet,517,2,Returning,1034
2025-04-29,West,Phone,773,9,Returning,6957
2025-04-30,North,Phone,731,3,New,2193
2025-05-01,West,Tablet,640,1,Returning,640
2025-05-02,North,Tablet,850,5,Returning,4250
2025-05-03,South,Phone,656,7,New,4592
2025-05-04,East,Laptop,322,6,Returning,1932
2025-05-05,North,Laptop,821,1,New,821
2025-05-06,West,Phone,1423,5,Returning,7115
2025-05-07,South,Laptop,1101,5,New,5505
2025-05-08,North,Phone,1061,6,New,6366
2025-05-09,West,Laptop,741,3,Returning,2223
2025-05-10,West,Laptop,1068,5,Returning,5340
2025-05-11,West,Tablet,1315,7,Returning,9205
2025-05-12,North,Tablet,815,5,Returning,4075
2025-05-13,North,Laptop,1339,5,Returning,6695
2025-05-14,North,Laptop,1091,5,New,5455
2025-05-15,East,Tablet,635,3,Returning,1905
2025-05-16,North,Tablet,557,1,New,557
2025-05-17,North,Tablet,796,5,New,3980
2025-05-18,North,Phone,1195,9,Returning,10755
2025-05-19,East,Laptop,459,1,New,459
2025-05-20,North,Tablet,1151,3,New,3453
2025-05-21,West,Laptop,989,4,New,3956
2025-05-22,North,Phone,679,1,New,679
2025-05-23,West,Phone,1256,1,Returning,1256
2025-05-24,West,Tablet,990,8,New,7920
2025-05-25,West,Phone,1491,2,Returning,2982
2025-05-26,East,Laptop,1366,8,Returning,10928
2025-05-27,East,Tablet,584,7,New,4088
2025-05-28,East,Laptop,696,2,Returning,1392
2025-05-29,North,Laptop,311,6,Returning,1866
2025-05-30,West,Phone,798,6,Returning,4788
2025-05-31,East,Phone,1053,3,New,3159
2025-06-01,East,Phone,334,2,Returning,668
2025-06-02,North,Phone,1026,1,Returning,1026
2025-06-03,East,Phone,1148,6,Returning,6888
2025-06-04,North,Tablet,389,5,New,1945
2025-06-05,South,Laptop,1075,9,Returning,9675
2025-06-06,East,Laptop,904,1,New,904
2025-06-07,South,Laptop,1269,7,New,8883
2025-06-08,North,Laptop,1321,5,New,6605
2025-06-09,West,Phone,717,5,New,3585
2025-06-10,East,Laptop,414,2,New,828
2025-06-11,North,Tablet,916,3,New,2748
2025-06-12,West,Tablet,1125,7,Returning,7875
2025-06-13,West,Laptop,1398,6,New,8388
2025-06-14,South,Laptop,712,2,Returning,1424
2025-06-15,North,Tablet,1028,6,Returning,6168
2025-06-16,West,Tablet,1320,2,New,2640
2025-06-17,East,Phone,1060,2,Returning,2120
2025-06-18,East,Tablet,975,2,Returning,1950
2025-06-19,South,Phone,756,3,Returning,2268
2025-06-20,West,Phone,1219,2,Returning,2438
2025-06-21,North,Phone,491,4,New,1964
2025-06-22,East,Phone,1038,9,Returning,9342
2025-06-23,West,Phone,1422,6,New,8532
2025-06-24,West,Laptop,1277,1,Returning,1277
2025-06-25,South,Tablet,1308,8,Returning,10464
2025-06-26,East,Phone,395,7,New,2765
2025-06-27,East,Tablet,962,3,Returning,2886
2025-06-28,North,Tablet,336,1,Returning,336
2025-06-29,East,Phone,578,5,Returning,2890
2025-06-30,North,Laptop,516,4,New,2064
2025-07-01,East,Phone,1166,8,Returning,9328
2025-07-02,South,Laptop,1172,1,New,1172
2025-07-03,East,Tablet,361,1,Returning,361
2025-07-04,North,Laptop,895,4,New,3580
2025-07-05,North,Laptop,1028,8,New,8224
2025-07-06,South,Laptop,696,5,Returning,3480
2025-07-07,East,Tablet,998,2,Returning,1996
2025-07-08,East,Tablet,1342,6,New,8052
2025-07-09,South,Laptop,476,5,New,2380
2025-07-10,East,Laptop,695,2,Returning,1390
2025-07-11,East,Phone,744,3,New,2232
2025-07-12,North,Laptop,375,9,Returning,3375
2025-07-13,East,Phone,564,7,Returning,3948
2025-07-14,East,Laptop,754,7,Returning,5278
2025-07-15,South,Phone,1017,6,Returning,6102
2025-07-16,South,Tablet,1034,8,New,8272
2025-07-17,West,Laptop,1150,4,Returning,4600
2025-07-18,North,Laptop,443,8,New,3544
2025-07-19,East,Laptop,1184,4,Returning,4736
