Date,Marketing_Spend,Price_Index,Customer_Satisfaction,Competitor_Promo,Sales
9/30/2023,17.61,113.53,6.89,0,20
10/31/2023,21.4,97.19,6.06,1,47.79
11/30/2023,22.7,104.39,6.2,1,41.27
12/31/2023,30.29,107.35,7.54,0,85.25
1/31/2024,26.72,106.12,7.71,0,74.13
2/29/2024,16.18,102.51,6.78,0,50.03
3/31/2024,26.62,104.17,8.01,0,71
4/30/2024,23.07,103.03,6.17,0,75.43
5/31/2024,21.62,102.64,7.45,0,67.04
6/30/2024,28.06,108.4,6.53,0,76.59
7/31/2024,30.15,106.43,6.98,0,83.64
8/31/2024,29.66,102.23,7.54,1,83.29
9/30/2024,20.8,108.6,6.81,0,51.08
10/31/2024,23.45,106.23,7.19,0,66.77
11/30/2024,26.66,108.25,8.31,1,67.26
12/31/2024,29.88,107.52,7.04,0,90.45
1/31/2025,22.6,101.68,8.17,0,80.93
2/28/2025,24.07,102.76,6.6,0,75.2
3/31/2025,19.47,107.99,7.92,0,50.9
4/30/2025,19.02,107.44,8.65,1,57.06
5/31/2025,29.06,104.92,5.52,1,47.28
6/30/2025,31.78,105.47,6.86,0,104.55
7/31/2025,24.64,110.11,7.96,0,61.92
8/31/2025,30.02,102.63,7.34,0,77.9
9/30/2025,26.81,107.19,7.8,0,76.14
10/31/2025,21.77,104.19,7.02,0,54.18
11/30/2025,26.81,104.13,7.57,1,74.07
12/31/2025,32.69,109.4,7.38,0,77.08
1/31/2026,24.82,108.3,8.43,1,51.69
2/28/2026,32.82,108.25,7.7,0,70.54
3/31/2026,11.9,110.22,7.77,0,20
4/30/2026,29.11,105.08,7.17,0,57.75
5/31/2026,25.44,107.73,7.11,1,33.04
6/30/2026,23.5,103.76,7.15,1,60.9
7/31/2026,25.46,106.3,7.82,1,66.05
8/31/2026,15.06,104.48,7.16,0,45.51
9/30/2026,23.9,105.39,7.73,0,60.4
10/31/2026,26.79,107.38,9.16,1,69.72
11/30/2026,32.39,101.73,8.2,0,108.41
12/31/2026,22.41,113.37,7.24,0,30.14
1/31/2027,20.96,100.98,8.46,0,93.14
2/28/2027,22.49,100.14,7.17,1,68.25
3/31/2027,29.58,109.63,5.87,1,44.42
4/30/2027,26.64,108.17,6.69,0,63.28
5/31/2027,22.35,107.5,6,1,33.38
6/30/2027,27.57,107.51,7.22,1,36.28
7/31/2027,25.49,104.95,7.51,0,71.7
8/31/2027,29.84,101.41,8.84,0,99.9
9/30/2027,21.49,105.3,7.76,1,38.28
10/31/2027,23.36,102.29,7.32,0,70.1
11/30/2027,23.04,108.9,8.16,0,80.13
12/31/2027,17.68,104.41,5.73,0,44.26
1/31/2028,26.48,101.7,7.69,1,66
2/29/2028,26.31,103.71,8.12,1,75.34
3/31/2028,25.03,106.65,6.32,1,58.02
4/30/2028,23.83,102.75,8.42,0,91.22
5/31/2028,17.92,101.71,7.77,1,47.24
6/30/2028,22.9,105.97,7.17,1,39.67
7/31/2028,23.29,105.98,8.01,0,75.98
8/31/2028,20.99,102.97,9.32,1,69.04
9/30/2028,24.19,103.12,7.65,0,84.92
10/31/2028,27.02,105.93,7.7,0,84.19
11/30/2028,34.43,99.21,7.13,0,122.8
12/31/2028,25.87,99.37,6.82,0,78.39
1/31/2029,26.29,102.13,8.16,0,102
2/28/2029,24.63,104.15,6.82,0,70.05
3/31/2029,15.41,106.24,7.56,0,61.86
4/30/2029,24.87,110.9,7.12,1,32.43
5/31/2029,25.3,108.43,7.88,0,85.22
6/30/2029,37.32,104.36,7.77,0,115.2
7/31/2029,24.04,104.92,8.33,0,69.95
8/31/2029,26.51,100.99,7.09,1,63.94
9/30/2029,24.83,104.93,7.28,0,67.2
10/31/2029,19.16,103.85,6.72,0,55.86
11/30/2029,30.71,106.29,7.14,1,73.75
12/31/2029,28.76,101.69,7.8,0,88.72
1/31/2030,28.96,107.08,8.11,0,83.82
2/28/2030,20.45,111.13,6.76,0,59.03
3/31/2030,32.01,104.56,8.2,1,102.51
4/30/2030,17.99,106.61,8.58,0,60.45
5/31/2030,27.93,107.76,7.83,1,62.41
6/30/2030,35.95,103.4,9,0,122.55
7/31/2030,20.05,105.9,6.88,1,41.58
8/31/2030,22.17,105.05,6.5,1,30.66
9/30/2030,25.5,105.39,6.08,1,44.09
10/31/2030,22.48,101.91,8.7,0,65.58
11/30/2030,17.25,105.1,8.02,1,42.15
12/31/2030,25.34,106.99,7.46,0,74.7
1/31/2031,19.69,110.8,7.72,0,39
2/28/2031,27.37,108.84,6.6,0,78.55
3/31/2031,20.4,113.61,9.46,1,25.6
4/30/2031,32.75,101.93,7.6,1,74.58
5/31/2031,21.08,108.49,7.59,1,39.98
6/30/2031,23.39,105.73,8.08,0,80.96
7/31/2031,29.07,113.76,7.88,0,82.69
8/31/2031,18.85,101.77,7.68,1,43.98
9/30/2031,26.14,101.64,6.87,0,90.07
10/31/2031,31.54,102.6,7.88,0,100.77
11/30/2031,16.96,96.5,9.01,0,79.98
12/31/2031,25.92,102.9,8.58,0,97.99
1/31/2032,26.3,101.96,8.77,0,100.68
2/29/2032,28.91,105.6,7.09,0,63.69
3/31/2032,18.82,106.37,6.71,0,58.98
4/30/2032,18.4,112.5,7.4,0,46.95
5/31/2032,27.61,108.8,7.54,1,49.89
6/30/2032,26.48,102.69,8.38,0,93.71
7/31/2032,26.25,101.41,6.15,0,79.37
8/31/2032,26.73,106.97,8.72,0,85.13
9/30/2032,21.6,99.72,7.37,0,68.96
10/31/2032,26.16,112.33,7.16,1,33.22
11/30/2032,26.47,109.72,6.69,1,43.37
12/31/2032,21.43,103.12,6.18,0,67.66
1/31/2033,34.33,98.15,8.16,0,128.33
2/28/2033,27.37,110.42,7.56,1,47.83
3/31/2033,19.04,104.54,6.47,1,40.25
4/30/2033,28.28,109.95,6.46,0,33.16
5/31/2033,20.13,98.62,7.23,0,83.17
6/30/2033,28.94,102.6,8.84,0,83.64
7/31/2033,30.79,105.02,7.29,1,69.52
8/31/2033,20.9,105.19,6.3,0,38.93
9/30/2033,29.82,103.2,7.3,1,61.91
10/31/2033,27.06,107.49,7.28,0,82.3
11/30/2033,29.11,100.73,5.34,0,73.55
12/31/2033,34.48,104.43,7.46,0,105.51
1/31/2034,23.77,105.48,7.32,0,65.7
2/28/2034,21.23,107.06,8.06,0,65.29
3/31/2034,20.55,107.85,8.98,0,64.63
4/30/2034,20.92,100.5,8.4,0,65.88
5/31/2034,24.61,98.86,7.28,1,79.88
6/30/2034,26.71,110.11,6.61,0,52.8
7/31/2034,26.38,106.33,9.56,0,74.23
8/31/2034,29.14,102.01,7.55,1,73.51
9/30/2034,25.07,111.2,7.51,1,57.3
10/31/2034,32.27,105.46,7.48,1,86.5
11/30/2034,23.68,109.72,7.66,1,39.53
12/31/2034,38.6,105.27,7.38,0,108.17
1/31/2035,28.13,113.24,7.04,0,54.39
2/28/2035,20.71,112.02,7.06,1,44.33
3/31/2035,19.65,104,7.47,0,62.53
4/30/2035,27.41,108.89,7.07,0,70.87
5/31/2035,23.88,107.58,6.93,1,53.43
6/30/2035,28.57,110.47,7.59,0,72.64
7/31/2035,27.37,101.14,7.3,0,85.07
8/31/2035,24.64,107.74,8.7,0,72.21
9/30/2035,20.77,109.23,5.38,0,31.56
10/31/2035,17.43,97.97,8.37,0,73.95
11/30/2035,22.77,100.27,8.5,0,92.91
12/31/2035,29.28,96.84,5.84,1,77.98
1/31/2036,26.07,103.92,7.23,0,83.58
2/29/2036,18.77,107.87,7.2,0,43.43
3/31/2036,25.87,111.01,6.37,1,36.83
4/30/2036,26.93,105.3,6.88,1,37.6
5/31/2036,20.58,111.51,6.61,1,30.01
6/30/2036,25.77,99.48,8.9,1,88.27
7/31/2036,25.29,98.19,8.25,0,106.38
8/31/2036,19.29,104.78,8.52,0,35.12
9/30/2036,26.79,106.54,8.08,0,99.54
10/31/2036,27.8,104.87,6.6,0,72.63
11/30/2036,30.42,96.73,7.08,0,117.16
12/31/2036,30.27,104.64,7.89,0,81.93
1/31/2037,18.11,99.78,6.52,1,48.17
2/28/2037,20.31,107.68,8.07,0,45.76
3/31/2037,27.58,106.47,7.31,0,68.81
4/30/2037,27.57,101.24,7.2,0,106.35
5/31/2037,27.58,102.94,8.07,0,88.04
6/30/2037,44.26,100.76,7.86,0,145.93
7/31/2037,27.85,104.75,7.21,1,73.06
8/31/2037,30.68,108.82,8.43,0,92.39
9/30/2037,29.77,101.06,6.64,0,91.28
10/31/2037,28.26,107.02,7.99,0,84.8
11/30/2037,23.42,102.88,7.97,1,85.85
12/31/2037,28.79,101.83,7.25,0,89.22
1/31/2038,21.14,104.57,7.76,0,66.09
2/28/2038,23.82,100.86,6.5,0,81.82
3/31/2038,22.57,102.79,8.24,0,87.71
4/30/2038,25.41,100.21,7.35,1,81.38
5/31/2038,36.57,112.86,7.08,1,75.59
6/30/2038,15.66,105.14,8.34,0,39.42
7/31/2038,28.43,102.2,6.94,1,86.64
8/31/2038,16.94,105.86,6.37,1,20
9/30/2038,22.64,104.55,6.25,1,44.57
10/31/2038,30.44,104.12,7.98,1,72.32
11/30/2038,25.32,107.46,6.48,0,58.51
12/31/2038,19.61,108.03,8.9,0,63.24
1/31/2039,21.42,102.88,5.83,0,56.91
2/28/2039,28.4,102.7,8.86,1,88.55
3/31/2039,21.35,103.9,7.67,0,81.8
4/30/2039,26.08,95.79,7.42,1,87.66
5/31/2039,25.23,98.94,7.06,1,67.38
6/30/2039,21.74,110.47,7.82,0,61.25
7/31/2039,35.72,111.58,7.47,1,84.86
8/31/2039,28.17,104,8.38,0,79.27
9/30/2039,14.87,107.31,7.59,0,43.03
10/31/2039,25.93,106.25,7.62,1,65.14
11/30/2039,21.69,117.32,7.21,0,26.47
12/31/2039,29.26,109.48,7.45,1,72.44
