text,sentiment
"Pros: this app is very similar to the functionality of Wunderlist and adds features I wanted. Free version is fully functional except for the limitation of 9 lists Cons: Some of the widget buttons are small and I am not a fan of subscription services for premium features (I would pay a one-time fee, even for each upgrade, but i absolutely won't subscribe)",positive
My cucumber has gone limp,negative
"I like the concept... But it don't work. :( I am able to go on Facebook even if the tree is growing! Even now, I have a tree growing as I type. I really like the idea... but it don't work (on my phone).",neutral
can you add more than 2 hours?,neutral
 Had one of the female servers tell her **** looks big in those pants. She will worry all night long Lol,negative
My fingers hurt,negative
I enrolled myself in beta version and gained almost 1000 coins. But after sometime the app stopped working properly! The start button won't work or the estimated time was almost 3 times. The I left the beta version and reinstalled the application. It's working fine now but I lost all the coin count and now I am back to square one! I was so upset! I love this application though! But please fix these bugs guys!,neutral
love it. Cant wait for it to do even more.,positive
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",neutral
On my way to dazzle bar!!,neutral
Sensation Ocean of White Portugal: absolutely amazing  Adoreiii!,positive
sun - where are you?,neutral
App has stopped opening,negative
_O Awesome! My family owns it...The Flowers.. and we love having your kids there! They seem to have lots of fun!!,positive
" oh, sorry to hear about this too  sad",negative
 lol wat u making me come all da way overr there for?v,neutral
@ kbal24 I am sorry that you are feeling that way.,negative
I love this app! Very easy to use and it phelps me to keep track of my progress. A+,positive
 Dude you are awesome,positive
" Thanks, I found the link http://bit.ly/uxOFO  , however I think you need to be a customer to download it",positive
"Cool concept, but I don't have the attention span for it.",neutral
_kelly Bummed about the maxi dresses!  I think they`re so cute for summer but I`m only 5`4'!,positive
about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.,neutral
Why isn't this also an Android wear watchface?,neutral
"💩👎💩👎💩👎💩 👻☠️ IMPOSSIBLE TO DELETE LIST, OR SUB LISTS (TABS)!!! ☠️👻 REGRET v2.0 UPGRADE!! 👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎💩👎",negative
 I`ve missed one this year(!). It`s the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.,negative
Desktop version is better,positive
" Nothing, stayed home",neutral
Laying on my bed. ONE spot smells like vanilla.  awesome,positive
 lol that was a great movie,positive
Work on notifications... Its the best though am happy,neutral
"No matter what I do, even setting 'no notifications' when creating event or task; they  continually pop up. Not happy with this feature.",neutral
_Bayliss Naww... when should we go on mega scotter?,neutral
"at the beginning was good but i wait two months later and the app keep putting back as not done reminders that i mark as done already and the other task that have date and mark as priority don't even showed me, if you can fix that ill stay with the app otherwise i will keep looking... sadly the only remid app that work good was the apple one but i don't have iphone anymore so? came on please make this one work",negative
"App looks great. UI is wonderful and the feature it have , they all are useful. Only problem because of which I uninstalled the app was simple and basic features like recurring task creations are made premium. Switching to tick tick for the same reason.",neutral
Es muy útil para mantener las aplicaciones del celular cerradas mientras trabajas.,positive
Great app for tracking habits with tons of options! Only thing I can't seem to do is set a habit with a start date in the future. Is there a way to do this that I am missing? I'm a planner and like to set things up ahead of time. Otherwise it's fabulous!,positive
   I love you,positive
 I KNOW! I love Nicholas Braun & I think he`ll make an okay Cameron but I don`t wanna see it either,positive
"Its a cool app but im afraid it doesnt all too well on my huawei p9 leica, it doesnt kill the plant when I switch apps, rendering the whole experience pointless, I followed all the setup instructions and forums but it still didnt work : (",neutral
 good luck!!  OH and I are playing inthe mixed knockout this week. Playing the pros 14yr old son playing off 5 & top woman off 6,positive
" Good lord, man.   I recommend the Dark & Stormy at Casablanca.",positive
" not so awesome now, huh? LOL",neutral
Now i`m fully awake,neutral
"Radio:ACTIVE never gets old and never will  this is the 4th time i have listened to the cd (its on repeat) today, and still love it! =D",positive
"Really nice overview, like the colors and how adjustable it is. Won't consider any other calendar app",positive
Oh. Now it doesn`t need updating all of a sudden. Ok. Will get dressed anyway,neutral
All of a sudden I`m craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,negative
 nooooooooooooooo! well the 4G will prob be out in June but that doesn`t help u now,negative
"Will there ever be an update with an easier way to sync with other devices? I have spent so much time trying out todo apps with reminders and this is probably the best one ever, but I would really want to be able to manage it all across more than one device, such as with an autimatic periodic upload or one-touch sync button like in colornote. Thanks",positive
"Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjdjc",neutral
  OOh but you soon get to meet the dung mice!!,neutral
"Its perfect,I really recommend downloading it,it has the priority of your works,calendar,etc...thank you so much!it is so useful",positive
yankees won mets lost. its a good day.,positive
: Well that is just completely lame. I`m sorry dude.,negative
 why are you sad?,negative
Sometimes knowledge is not a good thing.    http://digg.com/d1sPp7,negative
" - We drank ours away, May Day Bank Holiday today",neutral
wants to go home.,neutral
 keep dreamin`!!!! Though.... if she does.... hook me up  LOL,neutral
i looked all cute too!,positive
Really helped me to level up my organizing and productivity! I wouldn't need all the premium features really tho.,positive
"Haha! just overheard on the us. 3 yrold to mom 'mom, I think I should learn to read today'",neutral
 morning David have a safe journey and enjoy your time in the states  ****,positive
i got peanut butter in my beard  it felt weird after... and axe body wash burnt my eyes... but now they`re okay.,negative
Two day hangover,neutral
"Works great, but when I start creating events and switch to a different app and go back to Business Calendar, they disappear. Also, very limited, unsearchable collection of emojis. No statistics on events, too. Would also love to see goal tracking. Needs prioritizements of tasks. Also, no option to find a time for an event.",neutral
"he switches off his cellphone!! huaaaaa, i cant sleep  buzz me bebe..",negative
"I`ve got sunburnt knees... it`s funny now, but I bet they`ll sting later   Had a fab day though  x",neutral
_Sweethearts Im following you but you aren`t on my DM list  Can you try to DM me?,neutral
Long to-do list. Little desire to do it all.,negative
"sociology is done, english and biology left... i`m going to DIE",negative
Forcing to open Microsoft account even when we are providing mobile number or another email account I don't understand if it is very good app and useful then I will open account,negative
learn to fly higher...!  http://tinyurl.com/30tools,positive
 I was going to hidden-file it and you`re thinking about youtube? SO NOTT! Lol. Hey put the phone down and more swimming,neutral
 hahahaha. Nahh sowwieee.  I had to git a shirt to match dez sneakerz nd idk if they da same color. Aghhh =O lol,neutral
I love this for lists. Currently I am using it to keep track if my school work while over this school break!,positive
"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become.",negative
"Glorious day in Glasgow for a change, and I`m working  Too much to do to even contemplate knocking off early...",neutral
 7pm? So early. Dat`s 4pm my time.,neutral
useful for organizing the activities of the day but don't have setting on sound to notify the time of activity,negative
"I loved this app when I tried the free version, the side tabs and all. It felt like a planner. Then I open it up and it must've updated because the looks changed, no side tabs. So I paid for the pro version to get more out of it. Nothing has changes, I go to landscape view and it won't scroll. It's glitch to. I have paid the $4.99 and it keeps telling me to upgrade. I've already paid!!! I emailed you guys and still haven't heard any support a week later. So my advice to you all, keep your $5.",negative
"The program is very good on my old phone(galaxy note 4), but notifications don't work on the new one(redmi note 8 pro). I hope you will fix them. Thanks",negative
_30439 I really wish I could go!,positive
Im still in my my pjs  but I haveto get dressed cuz Im going to see Dancing on Ice live,neutral
"Every time I pay off my library fine, I get a new one.  I`m a bad patron",negative
Excellent product!! I think this is the third time I am editing my review for this app. That's mainly because the app popped up the review request while I was planning my tasks. I should feel like I was interrupted right? No I wasn't. This app is helping me for several years I even forgot when I started using it. And I just can't stress enough how much I like it. Fantastic work guys!,positive
"It is a good idea, but it's not really easy to use.. in fact it's quite complicated :/ I bought premium because they advertised I could set schedules per day, and I can, but not how I had hoped. I recommend to make it simpler by allowing the user to toggle days per schedule in the routine editor, and additionally make any small changes in each individual day.",negative
"I downloaded this app on my tablet long time ago (full version) and recently also downloaded it on my phone as I don't bring my tablet with me all the time. I only use the ""task"" function, because  my  calendar events do not sync properly (I haven't fpnd the sync button on my phone...) and another not so funny thing for me: I am using the same account for both devices, BUT I can't use the full version on my phone (I get a message that I need to buy it (???)...) that's why I need to use my tablet (with the full version on it) if I want to add something.",neutral
complicated,negative
 that was delicious! lets have a walk sometimes with you and your hubby.. and others! me misses you,neutral
the app and widɡet are very ɡood. Will change to 5 start when I can be able to add task using google assistant.,neutral
 wish u was in the D!,positive
random night of fun  now im chillin at home.. happy mothers day!,positive
Have a headache  I`m going to bed. Goodnight!,negative
u ever have a friend that u just wonder why are we friends? i know what you get from me but i`m questioning what i`m getting from u.,neutral
" thanks Alen, it seems that we can only submit community news, is this an error, or must we prove ourselves",neutral
 It wasn`t loading.,neutral
Chilling out....now the boys have gone  Time To Relax,positive
haha so bored...but happy mothers day!,neutral
I only have 2 more seasons of X-Files to watch,neutral
 oh my... now im offended.  ha,negative
NOOOOOOO my DVR just died and I was only half way through the EA presser. Hate you Time Warner,negative
"Love it. Exactly what I was looking for. Nice looking, very functional, and it can go on my homescreen with check boxes. 10/10",positive
Can't use it without registering with your email address. Immediate uninstall.,negative
" need to get an intel based mac 1st   but this impacts on dual core vs quad choice, latter probably better for virtualization",positive
http://twitpic.com/4jcfg - About to cycle within this quarry on Shipley glen near Baildon moor before heading back through the woods,neutral
 what?? can`t believe it,negative
"Woke up at 5am. Cleaned camera gear from last nights wedding. Should really go back to sleep, but kids awake.",neutral
Can`t paint anymore because of the light,neutral
I run multiple businesses and so far this has helped me organize my days tremendously. A lot of initial decisions had to be made about where I want things and that took a while but now I'm really glad I took the time to do it because it's all coming together and actually relieving some stress. Hopefully I can come back and add the 5th star after I've had more time using it!,positive
Math review. Im going to fail the exam.,negative
omgoodness FINALLY back from dinner with the fam bam!,positive
Want upgraded version even to set the duration . Pathetic app.,negative
nice weather..looks like its going to rain here in # Delhi.,positive
 Where DO you get all those wonderful toys?,positive
" and if you want to leaveeeee I can guranteee, you won`t find nobody, else like meeee",negative
My last full day of even day classes. I`m a little sad,negative
They`re gone.,negative
http://twitpic.com/4wr8k - Ashley Tisdale - Love the shades girl,neutral
_crisis deathmatch? I don`t have that game. Plus.... I`m not really good at any games  lol,negative
wants to wish all the moms a Happy Mother`s Day.  Hope you`re all treated like Queens!,positive
"App friezes when changing plant offline,fix needed",neutral
I can`t upload a picture. Everything`s too big,negative
"Great, premium allows for more alarms and reminders . But I don't have premium so that sucks.",positive
Tryin to figure out how to direct message and is gettin frustrated,negative
"I paid for the Premium version and had expected it to work. Unfortunately, I've been missing quite a few reminders because somehow they stopped working. The notifications didn't show at all. If this problem persists, I want to cancel my monthly subscription.",neutral
This is great!  I just found out that it`s Star Wars Day.       'May the 4th' be with you!  Have you hugged your Ewok today?,positive
thanks to  for becoming a follower,positive
 gut,neutral
" wow, I see a Mr.B obsession in you!!",positive
pomo timer is still glitchy.,neutral
Love this app Can guys add this features please 1. Task priority tag (red for important) 2. More notifications options ( sometimes a single clicking sound is not enough wish you add alarm settings) Thanks,positive
 http://twitpic.com/4wl7x - Very pretty Janette  I have that exact same Hey Monday band!  And its on the same arm :O,positive
Well hopefully I`ll see you both   at the conference,positive
"What a dreary, rainy, crappy day.",negative
 - all is fine  thanks! you guys dont have any quakes there?,positive
"'Bad words are a crutch, they lead to tattoos and peircings!'  Hahahaha!",neutral
found six great vegan places to eat and relax at; four of which I can`t get to without a car,neutral
gosh im bored. its early..n i wanna go..to sleeeepp why am i at work?  *kay<3*,negative
Cut my thumb with the saw in small metals   again...,negative
"Do you have plans to support Office 365 and outlook calendars directly.   Currently, I am syncing my calendars to Google but it's not a pleasant experience as the sync keeps failing on one or other calendar.    Due to this reason, I am stopping sectograph and moving to outlook widget :-(  For those who are on google calendar, it's an excellent app and the developer support is awesome.   I'm rating 4 only for the dependency on google calendar.",positive
"Love it! Lets you make multiple lists and lets you move items up and down to prioritize. Most useful out of several ""to-do list"" apps I've tried.",positive
"Great Concept but executed poorly. I added 2 events between 6.30am and 9.30 but when I tried adding one for 10.30am it would let me, saying it overlapped with another event which it did not. I even checked my calendar and nothing was there for that time. It's now 11.42am, I tried adding an event for 3.30pm and it said its saved but hasn't showed on the clock or anything so it's pretty useless at this point.",negative
"battery is low boooooooo in Palm Springs, CA http://loopt.us/2SljBw.t",negative
 i lurveeeeee you,positive
" bloody Feds, they lost last statement and r hounding me for another one. I dodged them one last week",negative
i woke him up in the end. Got bored.,negative
it keeps bugging out whenever i try to do anything. it wont stop doing ghe tutorial and wont ket me delete tast and stuff.,negative
 I give it 2 snaps down  how`s work going?,neutral
"I couldn't change the language of this software, I tried it again and again, but the language didn't change.",positive
"I`m a bit late, but the new twitterific interface for the iPhone is very cool, oh and Richie and Lauren on their engagement",positive
Just realized you can get arrested for public disturbance. oh well i`ll take my chances.,neutral
...Nomore adventure time,negative
gonna get a tan. i am so white,negative
no watching The Night At The Museum. Getting Really Good,positive
I don`t feel so good after eating all that food  ugh.,negative
Very nice app,positive
Long night ahead.,negative
just had steamed fish w/ oyster sauce,neutral
 apparently were not as good as the Brazillians tho`,negative
has plopped TWICE! TWICE!  http://plurk.com/p/svs0y,negative
 Thanx sis I`ll b sure to let them know how many people r praying w/them...,positive
This porridge tastes ****! I cba with today man.,negative
it was t4 i think hannah  ****,neutral
" Hi Mel, if you feel unhappy just take a bit of fries but don`t overdo.  If can help it don`t",negative
"Nine o`clock on a Sunday morning - Outside, sat around the table enjoying the early rays of sun, reading Twitter article in Sunday Times",positive
Happy mother`s day everyone! still playing pet society!,positive
 And I fell asleep 10 minutes into the Saget roast.,neutral
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only",positive
annoying new trend on the internets:  people picking apart michael lewis and malcolm gladwell.  nobody wants to read that.,negative
Great app. I would rate it a 5 but there's an error where my completed tasks becomes unchecked constantly causing it to keep on becoming an unfinished task and it's annoying.,positive
 follow her shes lonelyyyy,neutral
in class sick and hungry,negative
_Cullen oh really!!! i`ve already put all the pics up!! sorry!!   http://twitpic.com/61oj0,negative
" nuuuuu, i totally love may, it`s the best for me cos i was born in may",positive
had a great night with friends,positive
"Up and around a little earlier than I wanted to be (phone rang 5:30 AM).  Exercise is a good way to start the day, right?",positive
listening to AM- teddy picker  She saw it and she grabbed it and it wasn`t what it seemed,negative
" Sorry, that was a bit negative!",negative
"Exactly what i was looking for, a way to set up and visualize my weekly routine",positive
"Lately, doesn't sync between web app and Android reminders well. Still a nice app, but that is an inconvenience.",neutral
" hahaha, yes, our discussions always seem to jump around randomly",neutral
 I work for Disney...not all it`s cracked up ta be.,negative
Helpful.. helped me to stay on top of things. As a mom with school. This app makes stay on top,positive
I am trying to figure out how to use Twitter,positive
" In France it was last Friday and also the coming one, we are working",neutral
" you don`t even care about there, their, and they`re.",neutral
Should have an option to add reminders. it only displays events,negative
I never thought falling in love can cause so much pain...  good thing that I`m so over that phase!,neutral
Just snuck out my window.. Now im laying on my roof looking at the stars. Its a nice night out tonight.,positive
Good! luck you! I want new shoes  Ly x,positive
"Decent app. Works like intended but does have bugs for the extra ""game"" part of it. constantly have to close and reopen the app because the loading bar never really loads, or white screens. Another thing is I dont think we should be paying 3 gems to change our class. I accidently chose a class when I upgraded enough, and I thought I was fine as the bottom said you can change a class later, except it didnt say we needed 3 gems to do it. I dont usually get that many gems unless i buy them.",neutral
"_Kaufer You cant argue w/them, as they actually have zero things to complain about so they make stuff up",positive
French isn`t meant to be taught to asians,neutral
"Dear developers, thank you for deleting all my reminders after updating the app! It was not pleasant at all, believe me!",negative
Bran!! Watch my video!!!!! please dont make me go stalker status 2nite  http://bit.ly/3Ysav,neutral
great habit tracking app and you get plenty without premium. I like the premium widgets quite a bit and the extra habits. Would be better if it had the option to flag a habit as skipped rather than fail without breaking the chain for when you can't do it. E.g. In bed early when you have to stay back late at work.,positive
"Jesus...I`m being SLAMMED via DM`s from the Papaya lobbyists.  OK. Holy ****: Mangosteen, Durian or Papaya...or cybersecurity on a stick.",negative
Love this app! Keeps me organized and productive. Only thing I'm bummed about is I can override the locking feature. Even sent an email about it.,neutral
The reason why I can`t find the latest Arena magazine is because it has folded due to the recession. Grrrrr. GQ/FHM survive? No justice.,negative
" Heehee, how did you know who I was talking about?",neutral
"Very nice and interesting concept but completely useless because you flipping need wifi to update your checklist?! Furthermore even if my parents didn't control my wifi and I had full access, there should be a way to see all your tasks etc at a glance without having to scroll so much. Also what's the point if you can just go in the settings and set the amount of money you want? And a bunch of my friends joined habitica only to leave because it takes up too much time, and it's not fun enough.",negative
 My friend and I have a request that you play Nothing Sir when you hit Perth on Tues. From Jazz and Charni,neutral
 Chabibi. It`s a long running joke. I don`t give a flying **** if anyone follows me at all!,neutral
Bank Holiday Brunch.  With all the fixin`s.  Absolutely fantastic,positive
" I don`t feel too bad, but not sure to what I should attribute that. Could be cold & flu meds; nap; alcohol; or getting better...",neutral
