text,sentiment
Quần chưa kịp mặc đã bục 1 đoạn,negative
Mình 48kg,neutral
"Mình mua sp chất giống ảnh, gói hàng đẹp, giao hàng nhanh, giá cả hợp lý",positive
Chất áo thì k phải lăn tănnn luôn nhưng form hơi to,positive
Shop còn có quà tặng kèm và thẻ tích điểm,positive
Mạng chạy chậm quá,negative
"Vừa khít bụng mình mà không bị hằn,cấn",positive
Mua lần 2,positive
Chất lượng sản phẩm tốt,positive
Rất ưng ý 🤪❤️❤️,positive
"Hàng thì siêu yêu, siêu mềm mịn",positive
Chất liệu vải tốt so với giá ( 100k),positive
Chất lượng sản phẩm tạm được Thời gian giao hàng tạm được Đóng gói sản phẩm tạm được,neutral
"Đóng gói kĩ , áo còn lại đẹp",positive
"Giao nhầm hàng , ib shop k trả lời 😓😓😓",negative
"Màu bạc rất sáng, lấp lánh hơn màu hồng",positive
"Chất áo dày dặn, form áo đẹp",positive
Ống quần bên to bên nhỏ size s và l bằng nhau,negative
Đóng gói gọn gàng đẹp đẽ Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh,positive
"Chất lượng sản phẩm tương xứng giá tiền, mua mặc thay đổi kiểu thì ok",positive
Ốc hơi lỏng cho thêm cái vặn vít k đang bao nhiêu nhưng quý hơn cái dây kia bạn ạ..,neutral
Chất lượng sản phẩm tuyệt vời,positive
"Shop phục vụ rất tốt, hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy =giá sale.hàng rất oke.thanks shop 😄",positive
"Ren hơi mềm nên làm dáng áo ko được cứng, nâng ngực tạm đc",positive
Giao hàng lâu,negative
Sz 34 mà Khung ngực nhỏ quá,negative
Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Hàng y hình rất đẹp ạ ❤️,positive
Thái đô kém Thời gian giao hàng rất chậm Shop phục vụ rất kém,negative
Bàn tay mỏng nên ko nâng lắm,negative
Đẹp lắm đấy,positive
"Áo giống hình, chất vải hơi nóng",positive
"Đóng gỏi không cẩn thận, shop nên đong hộp cứng đỡ bị móp bẹp túi",negative
Giao hàng nhanh. .mua sp thì hỏi kĩ trước tránh thất vọng,neutral
Đóng gói sản phẩm rất đẹp và chắc chắc,positive
"Thời gian giao hàng rất nhanh, dầy dặn, đẹp",positive
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm,negative
"Chủ shop tư vấn rất nhiệt tình, đầm lên form rất đẹp, hợp với dáng mình, còn đc tặng kèm qà",positive
Váy còn đẹp và chuẩn hơn trong hình nữa,positive
Sz 2 bộ xanh và hồng ko giống nhau,negative
Áo rẻ đẹp phù hợp giá tiền,positive
"Áo vải cực đẹp, y hình, có điều to hơn mong đợi...",positive
Chất lượng sản phẩm tuyệt vời,positive
Chất lượng sản phẩm tuyệt vời đồ rất đẹp sẽ ủng hộ shop tiếp,positive
Sản phản mới.Chất lượng sản phẩm tuyệt vời,positive
Giao hàng nhanh.👍👍,positive
Rất ngon nhưng mà theo em thì nên xé nhỏ khô lại,positive
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh❤️👍🙈,positive
Chất ok á..nhưng rep ib thì hơi lâu,positive
Luôn ủng hộ shop,positive
Âm thanh rất dở,negative
Xấu và nhìn phom áo chán đời luôn,negative
Chất lượng sản phẩm tốt Đáng đồng tiền,positive
"Chuẩn quần vải đẹp ôm gọn chân, mà vải còn mát nữa",positive
"Shop vận chuyển hàng nhanh, váy khá ổn, mà còn đc tặng quà nữa hihi lắc tay nhỏ nhỏ xinh xinh khi nào đeo cho bé nhà 😍😍",positive
Nhìn cái áo cũ màu không đẹp vãi mỏng không đág tiền lắm,negative
Đập vào mắt là 175000₫ làm mất hứng .Sản phẩm được. màu đậm hơn hình.áo có mùi như thuốc tẩy giặt mãi ko hết,negative
Chuẩn hàng Bitis,positive
Màu ko đẹp như hình chup,negative
Hàng đẹp giao nhanh,positive
"Chất lượng sản phẩm tuyệt vời , vải ok , thích hợp cho những ai thích mang form rộng lắm nè",positive
Hợp với giá 130k,positive
"Form áo xấu lắm, mặc lên như tá điền, chỗ tà áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc, bảo sao thấy quay clip gập đôi áo vào",negative
Thời gian giao hàng rất nhanh,positive
"Công nghệ hơi lạ, ko biết có bền ko",neutral
Gối hơi nhỏ,negative
"Áo nhìn xinh , shop nói chuyện cực đáng yêu",positive
Chất lượng sản phẩm tạm được.chiều dài áo ngắn quá,neutral
Mùi len hơi nặng đã giặt nhưng vẫn còn nặng mùi,negative
Vải oke lắm luôn,positive
"Sản phẩm tạm được, đóng gói không đẹp",negative
Chưa thấy shop nào hãm l thế này,negative
"sản phẩm rất ok, kể cả áo trong của nữ chất vải cũng mềm đẹp, mang lên sang chảnh, tui mình diện đi sinh nhật ai cũng khen đẹp đôi, nói chung là rất hài lòng",positive
Tầm giá là sử dụng tot,positive
Không dùng được,negative
Chất lượng sản phẩm tạm được áo hơi ngắn so với hình,negative
Sản phẩm tôt giao hang nhanh,positive
Hàng bình thường,neutral
K con duong nao de che,negative
Chất vải ok dày dặn,positive
Ưng,positive
Nay mua thêm 1 combo nữa,neutral
áo dep lam shop ui.mình rat thix,positive
Thời gian giao hàng nhanh,positive
Rất ưng hiii,positive
K giao,negative
Màu sắc k giống hình,negative
Áo vải quá xấu,negative
"Nói chung là mình mua mặc đi làm ok, đáng tiền",positive
"Shop nhiệt tình giúp đỡ, chất lượng quần thì khỏi chê, dài rộng gì cũng vừa ý mình hết",positive
"Yêu cầu đổi trả Shop yêu cầu gửi ảnh, gửi cho r im lặng",negative
Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Hàng kém chất lượng và không như quảng cáo,negative
Shop phục vụ rất tốt,positive
Nói chung là không thất vọng đâu,positive
Chất lượng sản phẩm tuyệt vời,positive
Sản phẩm giống hình,neutral
Giầy hơi cứng Chất lượng sản phẩm tạm được,neutral
Sờ chất quần thì Ok luôn,positive
"Vay đẹp kỹ,tu van nhiet tinh",positive
Y hình,positive
Nt ko trả lời,negative
Chất lượng vừa với giá tiền,positive
Sẽ ủng hộ shop dài,positive
Hàng chất lượng hơn giá sản phẩm nhak mọi người,positive
Áo rách ntn ko hiểu phải mặc ntn luôn,negative
"nhưng cũng phù hợp với giá tiền, mặc vẫn ok",positive
Đồ mặc vừa.Thun hơi ôm dễ thấy bụng.😀,positive
Chọn màu này lấy màu kia,negative
"hàng tương đối ổn,mình khá hài lòng",positive
Inbox ko thèm trả lời,negative
Mình mua 2 chai về tàng trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu tẩy trang,positive
Mất uy tín,negative
Màu ngoài ko giống trong ảnh nhưng chất lượng khá ok với giá,positive
Rất ưng,positive
"shop giao hàng nhanh, gửi đúng màu, áo giống hình, mặc dù chất vải ko đẹp như mong muốn nhưng vẫn cho shop 5*",positive
"Shop phục vụ rất tốt, Thời gian giao hàng rất nhanh",positive
giày đẹp lắm . giao hàng lâu quá mun điên,positive
Shop giao siêu nhanh,positive
Giao hàng nhanh,positive
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng tạm được Đáng đồng tiền,positive
Chất lượng sản phẩm tuyệt vời,positive
Vừa ý,positive
"4 quần size L nhưng lại bị cái to cái bé, còn với giá tiền nvay thì cũng k mong chất đẹp hơn",positive
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh,positive
Nhưng ko sao tks shop,positive
Chất lượng sp tốt nhưng giao hàng chậm onl cũng chẳng trả lời gì,positive
Vài thun rất mỏng ko fai len,negative
Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt.👍👍👍,positive
"Đóng gói sản phẩm chắc chắn , shop giao hàng nhanh , nhận ngay 20/10 😂 về sp thì chất vải cũng đc, hợp mặc mùa thu.áo đẹp nhưng mà shop nên kiểm tra kĩ Sp đi ạ 😐 áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo 😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay😒",positive
Shop giao hàng cực nhanh lun trưa hom qua đặt mà trưa nay đã giao,positive
Thêm tin tưởng vào shoppe,positive
Áo vải đẹp mịn mát ❤,positive
Chất lượng sản phẩm tuyệt vời; Thời gian giao hàng rất nhanh,positive
Chủ shop nhiệt tình,positive
Rất đáng tiền,positive
Sản phẩm rất đẹp,positive
Hơi thô,negative
Vãi rất mỏng,negative
Hàng y như hình,neutral
Đẹp lại rẻ,positive
Chất lượng sản phẩm tuyệt vời Ưng sẽ ủng hộ shop dài giao hàng nhanh,positive
"Quay lại sửa đánh giá sau khi tung tăng mặc váy diện muôn nơi ~ váy chất k có gì để chê, tuyệt vời, dày dặn, mặc đúng kiểu chùm chân mình thích, che được mông, cạp cao, mặc lên eo ót với cả chân dài cả mét :)) tuyệt vời cho 1 chiếc váy 159k",positive
"Ao mặc đẹp, chất đẹp . thời gian giao hàng rất nhanh",positive
"Giao hàng rất nhanh, aó đẹp, nói chung rất hài lòng",positive
"Đặt xanh đậm mà giao mảu xám , thất vọng quá,màu thấy củ xèm",negative
Quả ko đẹp Chất lượng sản phẩm tạm được,negative
"Áo chất đẹp, shop phục vụ tốt",positive
Đóng gói sản phẩm chắc chắn,positive
Tôi rất hài lòng về sản phẩm,positive
Chất lượng sản phẩm tuyệt vời rất ưng ý đồ đẹp,positive
Shop lam ăn không uy tín.. sảm phẩm thì dỗm.. chát thì chặn,negative
Hàng rất ok 👍,positive
CL phù hợp giá tiền,neutral
"Đúng hình ảnh, đẹp",positive
Mẫu cũng đa dạng,positive
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Hết hàng thì phải báo với khách chứ đằng này vẫn giao,negative
"Ban đầu mình nghĩ là ren mỏng, nhưng nhận đc thì thấy ren đẹp hơn mình tưởng tượng",positive
"Đẹp, vừa ý..",positive
Tuyệt ạ ... giày nhẹ êm,positive
Đúng mỗi 1 màu,negative
Sản phẩm chất lượng,positive
"Cổ áo bị rách shop nên ktra kĩ trc khi giao, mình 40kg cao 1,55m mà mặc hơi chật",negative
Đóng gói kỹ,positive
Gói hàng cẩn thận,positive
Cảm ơn shop nhìu,positive
"Đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục vụ tốt 😊 sẽ ủng hộ shop nhiều nữa",positive
Son lên màu đẹp không bị khô cứng và lộ vân môi như màu 12 Rất đáng tiền,positive
Cảm ơn shop nhé,positive
Giống hình mà vải hơi cứng bạn ạk,positive
"Chất áo đẹp lắm, yêu shop",positive
Quần của shop quá đẹp luôn,positive
"Minh lay sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần củ , chồng mình 72kg , sp chất thì nhìn tốt Đóng gói sản phẩm rất đẹp và chắc chắn",positive
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Rất đáng tiền,positive
Chất thì ok nhưng cổ áo ko giống hình.cổ áo ko rộng mà ôm,neutral
Đặt 2 quần dài mà đóng gói cho 1 quần ngố,negative
Khuyến khích cho 5*,positive
"Nét chữ không được rõ, sp có mùi hơi kinh",negative
Mặc phối với chân váy hay jean đều đẹp,positive
Nhưng GHTK thu tròn 110.000 đ,negative
"Không giống hình cho lắm nhưng chất lượng cũng OK ,Mua 3 mà mỗi sp này là đc",neutral
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.sácg hay,positive
"Đóng gói sp chắc chắn, giao hàng rất nhanh",positive
Chất lượng sản phẩm kém không giống như mô tả,negative
Đáng tiền,positive
Váy mặc siêu xinh,positive
Thời gian giao hàng rất nhanh hàng y hình,positive
Vải thì rất đẹp,positive
Tiền nào cũa náy,neutral
Gooddd,positive
Áo rộng hơn hình nhiều,negative
Đóng gói sản phẩm rất đẹp và chắc chắn,positive
kem bên trong là màu trắng khác với kem ngày là màu vàng nhẹ .thời gian giao hàng chậm,neutral
Áo from rộng như ảnh,positive
Chất liệu vải ổn.nhưng hơi rộng,neutral
Ship ko đúng màu,negative
vãi nĩ dày . nóng,negative
"Shop phục vụ rất tốt, chất lượng sp ok",positive
"ngon đấy, nhưng đang ăn thì ăn phải cọng thun",negative
Khá ok 😉 sẽ ủng hộ shop tiếp,positive
Đẹp lắm nha,positive
Áo vừa quá,positive
Thời gian giao hàng nhanh,positive
Áo đẹp lắm b ơi,positive
Màu thì ko thực sự giống trong hình,negative
Chất lượng vải kém ko như hình,negative
Đã quay Video và chụp ảnh nhưng shop không phản hồi,negative
"Quần thoải mái, vừa vặn, đẹp Shop phục vụ rất tốt",positive
"Vận chuyển hàg k nhắt lót vào cặp, nên cắp bị méo mất dág",negative
giao 2 sp.trat lat het 2 sp.minh la de chiu nhat hi ua hang.hoi that vong,negative
"Ngày qua flash sale 39k/ chai, hết flash lên 55k xong 50k",neutral
Đóng gói sản phẩm rất đẹp và chắc chắn,positive
Chất dc,positive
"Chất lượng sản phẩm tuyệt vời, hợp với giá tiền, sờ siêu thích, màu random nhưng đẹp lắm ạ",positive
"Mật ong loãng, ko đặc sánh lắm",negative
Sẽ tiếp tục ủng hộ shop dài lâu,positive
Dép đi êm và mềm,positive
"Váy đẹp, vải thì mình thấy pha nilon nên hơi nóng",neutral
Chất tạm dc tương sứng giá tiền,positive
Giao hàng và chăm sóc tận tình,positive
giá tốt. nhưng giao hàng chậm quá. không có số đt liên hệ khi cần gấp,neutral
Shop cho doi tra ok,neutral
Thật sự mình quá ưng cho 1 sp rẻ mà chất lượng,positive
Lọc ổn nhưng hi vọng shop đóng hàng kĩ hơn,positive
"Vải mỏng, thô hơn mình tưởng tượng",neutral
Giao hàng nhanh,positive
Thời gian giao hàng nhanh Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt,positive
"áo màu sắc tươi sáng, vải chất ạ",positive
Shop rất thái độ với khách hàng,negative
bị chật ngắn,negative
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Chất lượng sản phẩm tuyệt vời Rất đáng tiền,positive
Được tốt,positive
Chất lượng sản phẩm tuyệt vời,positive
Chất lượng sp qá tệ,negative
Chủ shop nhiệt tình dễ thương,positive
"Giao hàng nhanh,",positive
Đàn nhìn cưng lắm 🎶🎵🎶,positive
Chất lượng sản phẩm tuyệt vời quần hơi mỏng ạ,positive
"Chất lượng sản phẩm rất kém Shop phục vụ rất kém Rất không đáng tiền,Shop phục vu qua kem , nhan tin ve so Tien se hoan lai thi khong thay tra lỏi gì het",negative
Nhưng khá ok rồi,positive
Hihi ưng lắm ạ giày đẹp lắm nha m.n đi êm mà dễ phối đồ cực,positive
Chả ra gì cả .chất lượng kém,negative
Gui sai một sp còn lại chất lượng tốt,neutral
Chất rất oke,positive
"Rất ưng, mặc thoải mái mà chất vải rất thích",positive
Nhưng mà shop nói có tặng kèm dây đàn mà mình nhận được không có ạ,negative
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh rất ưng,positive
Rất ưng ý ;) sẽ tiếp tục mua để ủng hộ shop,positive
Chứ nhận hàng hết cả hồn ngâm xà bông chà mãi vẫn k sạch,negative
"Ai thik mua,chọn size lớn hơn 2size ok hơn",positive
Đẹp hút hồn,positive
Giao hàng cũng nhanh ^^,positive
Giá còn rẻ,positive
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tốt Đóng gói sản phẩm rất đẹp và chắc chắn,positive
"Sản phẩm bị ỉu,không giòn và cũng không có thời hạn sử dụng trên bao bì",negative
Không tốt chất liệu sấu,negative
"Chất lượng sản phẩm tuyệt vời, shop này uy tín quá",positive
Vải kate thun mỏng nhẹ mát,positive
Chất lượng sản phẩm tuyệt vời.Đóng gói sản phẩm rất đẹp và chắc chắn.shop phục vụ rất tốt,positive
Chất vải được,positive
"Sản phẩm đẹp ,ổn .chắc chắn mà lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy",positive
"Áo sơ mi đẹp, giống hình",neutral
"Đóng gói đẹp, giao đúng hàng, sp chất lượng, giá tốt... rất hài lòng shop ơi, sẽ tiếp tục ủng hộ nè",positive
Tuy nhiên mình mua 2 cái thì cái size L ở tay áo bị viết số màu xanh lên chỗ tay áo mình giặt ko ra,negative
"Shop đóng gói cẩn thận, có kèm 1 tờ thiệp và 1 tờ rơi giới thiệu nữa. 😀",positive
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vờiO,positive
Ko ưng y lam,negative
Shoppe nên coi lại chọn người bán cho c9s kinh nghiệm chút,negative
Chất lượng sản phẩm tuyệt vời,positive
Giờ chẳng biết làm gì với cái áo đó,negative
Ncl rất ưng,positive
Thời gian giao hàng rất nhanh,positive
"Kem thẩm thấu rất nhanh, thoa xong sáng dậy có cảm giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết quả",positive
"chất lượng ok,mỗi tội bụng rộng quá.lại phải sửa",neutral
Shop phục vụ rất tốt,positive
Chất áo mỏngg,neutral
Chất lượng sản phẩm tuyệt vời .Đóng gói sản phẩm rất đẹp và chắc chắn,positive
"Đóng gói sản phẩm tốt, cần thêm hộp đựng sẽ tốt hơn",positive
chất liệu vải thì cũng tạm được. chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun,negative
"Đóng gói sản phẩm rất đẹp và chắc chắn Đóng gói sản phẩm rất đẹp và chắc chắn , áo khá to so với mình, nên bạn nào muốn mua size L mà tướng người nhỏ bé thì nên chọn soze M nha : , được tặng móc khóa hình Jinmin thích lắmm ><",positive
"Hàng chuẩn, uy tín",positive
Mua 2 chai mà mới xịt dc 1 lần thì hư mất cái nắp!,neutral
Thời gian giao hàng rất nhanh,positive
Đặt hàng ko giao hàng là Sao vậy á,negative
Hơi mỏng :)) k như mong đợi,negative
Ủng hộ shop ngàn sao luôn nè 😋😋,positive
Hic,negative
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn, chủ s nhiệt tình, vui tính",positive
Giao hàng nhanh,positive
Chất lượng khá tốt,positive
Vải dày và co giãn tốt,positive
Nhưng nếu màu hồng tươi thì ok,positive
Vải rất đẹp,positive
Chất lượng sản phẩm tốt Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng hơi chậm,neutral
Áo này dày hơn và chất đẹp hơn cái màu trắng mk mua,positive
"Mình 50kg bầu 4 tháng mua size 2XL mà mặc vừa zin,dáng quần đẹp,mấy nữa bụng to tí phải mua size to hơn thôi :)",neutral
Chất lượng sản phẩm tuyệt vời,positive
Nỉ ấm và dày,positive
Có chút trục trặc nhưng sửa lại thì vẫn đẹp,positive
Chất lượng sản phẩm tuyệt vời,positive
"Chất áo đẹp, lên dáng ok, mỗi tội mặc hơi ngứa 1 tí Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh",positive
Giao lâu,negative
Chất dai đanh và lì mặt,neutral
Giao hàg thì thôi nhah khỏi nói,positive
Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Vải áo hơi mỏng,positive
Muốn làm đại lý sỉ,positive
San phạm nay vua Shopee qua do mua ve toi k xay dc ngay ca khoai tay nau chín ma xay con k Nhuyễn nua,neutral
Size hơi to nhỉ 45kg -1m50 size S rồi mà hơi rộng,positive
"Chất lượng sản phẩm tạm được, trượt cơ học khá dít gây khó khăn cho sử dụng",negative
Nhưng áo khiến mình hơi thất vọng,negative
"Mặc khá xinh nhưng chất vải xấu, mỏng, cứng",negative
Chất lượng sản phẩm phù hợp vs giá,positive
Mới dùng chất lượng OK,positive
Thời gian giao hàng rất nhanh,positive
Mua ba cái thấy ok,positive
Đẹp quá ủng hộ shop lâu dài,positive
Áo mặc ok lắm mọi người cứ tin tưởng mua hàng nhé,positive
Dù sao với 160k thì chất lượng như vậy là quá được,positive
đẹp dã man thế này,positive
Áo xinh lắm nhé mấy nàng ❤ với giá này thì áo vậy là đẹp rồi,positive
"Khô gà bị mặn, cả nhà mình đều kêu vậy.",negative
Giao hàng nhanh,positive
Áo rất ấm,positive
Hơi thất vọng,negative
Chất lượng sp tuyệt vời,positive
"Huhuu, sr vì bh mới xác nhận đã nhận hàng :( quên béng đi mất",negative
C Chất lượng sản phẩm tuyệt vời Rất đáng tiền Thời gian giao hàng rất nhanh,positive
Hết cherry nên shop gọi bảo mình đổi mẫu chứ ko tự giao mẫu khác 👍🏻 Chọn chuyển qua dưa hấu,neutral
Sản phẩm tốt phù hợp với giá tiền,positive
Len chất hơi cứng chút😀Nhưng vẫn mặc Ok,neutral
"Kiểu dáng đúng mô tả, tuy nhiên quá mềm, không có độ cứng của khung túi, nên kém sang",neutral
"áo cực đẹp, nhé vải ko dày lắm đâu nên mình nghĩ vẫn mặc trong mùa hè đc, cơ mà lần sau em mua shop đừng gọi mẹ em nhé :))))",positive
Vải mỏng quá mỏng,negative
Chất thích mà size hơi nhỏ so với size bthg,negative
"Hàng đẹp, chất lượng",positive
SP không có hộp nhé,negative
Rất đáng tiền,positive
Nhìn ưng lắm,positive
Chất lượng sản phẩm tuyệt vời Chất lượng sản phẩm tuyệt vời,positive
Ưng lắm shop à,positive
Chất lượng sản phẩm tỐt Thời gian giao hàng tạm được,neutral
Còn về hàng thì okie luôn :),positive
M chua thử nhưng thấy chất rất đẹp,positive
Yến Sam,neutral
Xấu quắc...kg giống hình...cảm thấy khó chịu,negative
"3 in 1 mà mở hộp ra có mỗi 2 len, thiếu mất len macro",negative
Chất lượng sản phẩm rất kém Khong co dich vụ la sao Chất lượng sản phẩm tốt,positive
Hộp hơi trầy nhưng hàng đóng gói kĩ,neutral
Dat xám gjao xah.thất vọg về sp,negative
"Sản phẩm tốt, giá rẻ",positive
Nhưng good,positive
Thất vọng kinh khủng,negative
Vậy là oke so với giá tiền rồi,positive
Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh Rất đáng tiền,positive
"Hàng đẹp, đúng y hình",positive
Đóng gói sản phẩm rất chắc chắn Thời gian giao hàng rất nhanh,positive
Chất lượng sản phẩm không được tốt bằng sản phẩm mình mua trực tiếp ở các cửa hàng,negative
Tks shop,positive
Thời gian giao hàng nhanh,positive
Shop phục vụ rất tốt,positive
"form ko đẹp, ko định hình tốt vòng 1",negative
Ống tay hơi nhỏ,negative
Đc shop lì xì nữa,positive
Sản phẩm chất lượng quá tệ,negative
Shop giao hàng nhanh còn phục vụ nhiệt tình nữa,positive
Biết đẹp thế mình mua thêm cái màu đỏ nữa 😊😊😊😊,positive
Chỉ bung hết ra,negative
5 sao nha,positive
Tiếc rằng hết màu thích ko thì sẽ lấy thêm,neutral
