SEQUENCE_NAME,MCG,GVH,LIP,CHG,AAC,ALM1,ALM2,CLASS
GCVA_ECOLI,0.4,0.5,0.48,0.5,0.45,0.39,0.47,0
GLNA_ECOLI,0.28,0.38,0.48,0.5,0.5,0.33,0.42,0
GLPD_ECOLI,0.61,0.45,0.48,0.5,0.48,0.35,0.41,0
GLYA_ECOLI,0.17,0.38,0.48,0.5,0.45,0.42,0.5,0
GSHR_ECOLI,0.44,0.35,0.48,0.5,0.55,0.55,0.61,0
GT_ECOLI,0.43,0.4,0.48,0.5,0.39,0.28,0.39,0
HEM6_ECOLI,0.42,0.35,0.48,0.5,0.58,0.15,0.27,0
HEMN_ECOLI,0.23,0.33,0.48,0.5,0.43,0.33,0.43,0
HPRT_ECOLI,0.37,0.52,0.48,0.5,0.42,0.42,0.36,0
IF1_ECOLI,0.29,0.3,0.48,0.5,0.45,0.03,0.17,0
IF2_ECOLI,0.22,0.36,0.48,0.5,0.35,0.39,0.47,0
ILVY_ECOLI,0.23,0.58,0.48,0.5,0.37,0.53,0.59,0
IPYR_ECOLI,0.47,0.47,0.48,0.5,0.22,0.16,0.26,0
KAD_ECOLI,0.54,0.47,0.48,0.5,0.28,0.33,0.42,0
KDSA_ECOLI,0.51,0.37,0.48,0.5,0.35,0.36,0.45,0
LEU3_ECOLI,0.4,0.35,0.48,0.5,0.45,0.33,0.42,0
LON_ECOLI,0.44,0.34,0.48,0.5,0.3,0.33,0.43,0
LPLA_ECOLI,0.42,0.38,0.48,0.5,0.54,0.34,0.43,0
LYSR_ECOLI,0.44,0.56,0.48,0.5,0.5,0.46,0.54,0
MALQ_ECOLI,0.52,0.36,0.48,0.5,0.41,0.28,0.38,0
MALZ_ECOLI,0.36,0.41,0.48,0.5,0.48,0.47,0.54,0
MASY_ECOLI,0.18,0.3,0.48,0.5,0.46,0.24,0.35,0
METB_ECOLI,0.47,0.29,0.48,0.5,0.51,0.33,0.43,0
METC_ECOLI,0.24,0.43,0.48,0.5,0.54,0.52,0.59,0
METK_ECOLI,0.25,0.37,0.48,0.5,0.41,0.33,0.42,0
METR_ECOLI,0.52,0.57,0.48,0.5,0.42,0.47,0.54,0
METX_ECOLI,0.25,0.37,0.48,0.5,0.43,0.26,0.36,0
MURF_ECOLI,0.35,0.48,0.48,0.5,0.56,0.4,0.48,0
NADA_ECOLI,0.26,0.26,0.48,0.5,0.34,0.25,0.35,0
NFRC_ECOLI,0.44,0.51,0.48,0.5,0.47,0.26,0.36,0
NHAR_ECOLI,0.37,0.5,0.48,0.5,0.42,0.36,0.45,0
NIRD_ECOLI,0.44,0.42,0.48,0.5,0.42,0.25,0.2,0
OMPR_ECOLI,0.24,0.43,0.48,0.5,0.37,0.28,0.38,0
OTC1_ECOLI,0.42,0.3,0.48,0.5,0.48,0.26,0.36,0
OTC2_ECOLI,0.48,0.42,0.48,0.5,0.45,0.25,0.35,0
PEPE_ECOLI,0.41,0.48,0.48,0.5,0.51,0.44,0.51,0
PFLA_ECOLI,0.44,0.28,0.48,0.5,0.43,0.27,0.37,0
PFLB_ECOLI,0.29,0.41,0.48,0.5,0.48,0.38,0.46,0
PGK_ECOLI,0.34,0.28,0.48,0.5,0.41,0.35,0.44,0
PHOB_ECOLI,0.41,0.43,0.48,0.5,0.45,0.31,0.41,0
PHOH_ECOLI,0.29,0.47,0.48,0.5,0.41,0.23,0.34,0
PMBA_ECOLI,0.34,0.55,0.48,0.5,0.58,0.31,0.41,0
PNP_ECOLI,0.36,0.56,0.48,0.5,0.43,0.45,0.53,0
PROB_ECOLI,0.4,0.46,0.48,0.5,0.52,0.49,0.56,0
PT1A_ECOLI,0.5,0.49,0.48,0.5,0.49,0.46,0.53,0
PT1_ECOLI,0.52,0.44,0.48,0.5,0.37,0.36,0.42,0
PTCA_ECOLI,0.5,0.51,0.48,0.5,0.27,0.23,0.34,0
PTCB_ECOLI,0.53,0.42,0.48,0.5,0.16,0.29,0.39,0
PTFA_ECOLI,0.34,0.46,0.48,0.5,0.52,0.35,0.44,0
PTGA_ECOLI,0.4,0.42,0.48,0.5,0.37,0.27,0.27,0
PTHA_ECOLI,0.41,0.43,0.48,0.5,0.5,0.24,0.25,0
PTHP_ECOLI,0.3,0.45,0.48,0.5,0.36,0.21,0.32,0
PTKA_ECOLI,0.31,0.47,0.48,0.5,0.29,0.28,0.39,0
PTKB_ECOLI,0.64,0.76,0.48,0.5,0.45,0.35,0.38,0
PTNA_ECOLI,0.35,0.37,0.48,0.5,0.3,0.34,0.43,0
PTWB_ECOLI,0.57,0.54,0.48,0.5,0.37,0.28,0.33,0
PTWX_ECOLI,0.65,0.55,0.48,0.5,0.34,0.37,0.28,0
RHAR_ECOLI,0.51,0.46,0.48,0.5,0.58,0.31,0.41,0
RHAS_ECOLI,0.38,0.4,0.48,0.5,0.63,0.25,0.35,0
RIMI_ECOLI,0.24,0.57,0.48,0.5,0.63,0.34,0.43,0
RIMJ_ECOLI,0.38,0.26,0.48,0.5,0.54,0.16,0.28,0
RIML_ECOLI,0.33,0.47,0.48,0.5,0.53,0.18,0.29,0
RNB_ECOLI,0.24,0.34,0.48,0.5,0.38,0.3,0.4,0
RNC_ECOLI,0.26,0.5,0.48,0.5,0.44,0.32,0.41,0
RND_ECOLI,0.44,0.49,0.48,0.5,0.39,0.38,0.4,0
RNE_ECOLI,0.43,0.32,0.48,0.5,0.33,0.45,0.52,0
SERC_ECOLI,0.49,0.43,0.48,0.5,0.49,0.3,0.4,0
SLYD_ECOLI,0.47,0.28,0.48,0.5,0.56,0.2,0.25,0
SOXS_ECOLI,0.32,0.33,0.48,0.5,0.6,0.06,0.2,0
SYA_ECOLI,0.34,0.35,0.48,0.5,0.51,0.49,0.56,0
SYC_ECOLI,0.35,0.34,0.48,0.5,0.46,0.3,0.27,0
SYD_ECOLI,0.38,0.3,0.48,0.5,0.43,0.29,0.39,0
SYE_ECOLI,0.38,0.44,0.48,0.5,0.43,0.2,0.31,0
SYFA_ECOLI,0.41,0.51,0.48,0.5,0.58,0.2,0.31,0
SYFB_ECOLI,0.34,0.42,0.48,0.5,0.41,0.34,0.43,0
SYGA_ECOLI,0.51,0.49,0.48,0.5,0.53,0.14,0.26,0
SYGB_ECOLI,0.25,0.51,0.48,0.5,0.37,0.42,0.5,0
SYH_ECOLI,0.29,0.28,0.48,0.5,0.5,0.42,0.5,0
SYI_ECOLI,0.25,0.26,0.48,0.5,0.39,0.32,0.42,0
SYK1_ECOLI,0.24,0.41,0.48,0.5,0.49,0.23,0.34,0
SYK2_ECOLI,0.17,0.39,0.48,0.5,0.53,0.3,0.39,0
SYL_ECOLI,0.04,0.31,0.48,0.5,0.41,0.29,0.39,0
SYM_ECOLI,0.61,0.36,0.48,0.5,0.49,0.35,0.44,0
SYP_ECOLI,0.34,0.51,0.48,0.5,0.44,0.37,0.46,0
SYQ_ECOLI,0.28,0.33,0.48,0.5,0.45,0.22,0.33,0
SYR_ECOLI,0.4,0.46,0.48,0.5,0.42,0.35,0.44,0
SYS_ECOLI,0.23,0.34,0.48,0.5,0.43,0.26,0.37,0
SYT_ECOLI,0.37,0.44,0.48,0.5,0.42,0.39,0.47,0
SYV_ECOLI,0,0.38,0.48,0.5,0.42,0.48,0.55,0
SYW_ECOLI,0.39,0.31,0.48,0.5,0.38,0.34,0.43,0
SYY_ECOLI,0.3,0.44,0.48,0.5,0.49,0.22,0.33,0
THGA_ECOLI,0.27,0.3,0.48,0.5,0.71,0.28,0.39,0
THIK_ECOLI,0.17,0.52,0.48,0.5,0.49,0.37,0.46,0
TYRB_ECOLI,0.36,0.42,0.48,0.5,0.53,0.32,0.41,0
UBIC_ECOLI,0.3,0.37,0.48,0.5,0.43,0.18,0.3,0
UGPQ_ECOLI,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0
USPA_ECOLI,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0
UVRB_ECOLI,0.22,0.34,0.48,0.5,0.42,0.29,0.39,0
UVRC_ECOLI,0.44,0.35,0.48,0.5,0.44,0.52,0.59,0
XGPT_ECOLI,0.27,0.42,0.48,0.5,0.37,0.38,0.43,0
XYLA_ECOLI,0.16,0.43,0.48,0.5,0.54,0.27,0.37,0
EMRA_ECOLI,0.06,0.61,0.48,0.5,0.49,0.92,0.37,1
AAS_ECOLI,0.44,0.52,0.48,0.5,0.43,0.47,0.54,1
AMPE_ECOLI,0.63,0.47,0.48,0.5,0.51,0.82,0.84,1
ARAE_ECOLI,0.23,0.48,0.48,0.5,0.59,0.88,0.89,1
ARAH_ECOLI,0.34,0.49,0.48,0.5,0.58,0.85,0.8,1
AROP_ECOLI,0.43,0.4,0.48,0.5,0.58,0.75,0.78,1
ATKB_ECOLI,0.46,0.61,0.48,0.5,0.48,0.86,0.87,1
ATP6_ECOLI,0.27,0.35,0.48,0.5,0.51,0.77,0.79,1
BETT_ECOLI,0.52,0.39,0.48,0.5,0.65,0.71,0.73,1
CODB_ECOLI,0.29,0.47,0.48,0.5,0.71,0.65,0.69,1
CYDA_ECOLI,0.55,0.47,0.48,0.5,0.57,0.78,0.8,1
CYOC_ECOLI,0.12,0.67,0.48,0.5,0.74,0.58,0.63,1
CYOD_ECOLI,0.4,0.5,0.48,0.5,0.65,0.82,0.84,1
DCTA_ECOLI,0.73,0.36,0.48,0.5,0.53,0.91,0.92,1
DHG_ECOLI,0.84,0.44,0.48,0.5,0.48,0.71,0.74,1
DHSC_ECOLI,0.48,0.45,0.48,0.5,0.6,0.78,0.8,1
DHSD_ECOLI,0.54,0.49,0.48,0.5,0.4,0.87,0.88,1
DPPC_ECOLI,0.48,0.41,0.48,0.5,0.51,0.9,0.88,1
DSBB_ECOLI,0.5,0.66,0.48,0.5,0.31,0.92,0.92,1
ENVZ_ECOLI,0.72,0.46,0.48,0.5,0.51,0.66,0.7,1
EXBB_ECOLI,0.47,0.55,0.48,0.5,0.58,0.71,0.75,1
FRDC_ECOLI,0.33,0.56,0.48,0.5,0.33,0.78,0.8,1
FRDD_ECOLI,0.64,0.58,0.48,0.5,0.48,0.78,0.73,1
FTSW_ECOLI,0.54,0.57,0.48,0.5,0.56,0.81,0.83,1
GABP_ECOLI,0.47,0.59,0.48,0.5,0.52,0.76,0.79,1
GALP_ECOLI,0.63,0.5,0.48,0.5,0.59,0.85,0.86,1
GLNP_ECOLI,0.49,0.42,0.48,0.5,0.53,0.79,0.81,1
GLPT_ECOLI,0.31,0.5,0.48,0.5,0.57,0.84,0.85,1
GLTP_ECOLI,0.74,0.44,0.48,0.5,0.55,0.88,0.89,1
KDGL_ECOLI,0.33,0.45,0.48,0.5,0.45,0.88,0.89,1
KGTP_ECOLI,0.45,0.4,0.48,0.5,0.61,0.74,0.77,1
LACY_ECOLI,0.71,0.4,0.48,0.5,0.71,0.7,0.74,1
LGT_ECOLI,0.5,0.37,0.48,0.5,0.66,0.64,0.69,1
LLDP_ECOLI,0.66,0.53,0.48,0.5,0.59,0.66,0.66,1
LNT_ECOLI,0.6,0.61,0.48,0.5,0.54,0.67,0.71,1
LSPA_ECOLI,0.83,0.37,0.48,0.5,0.61,0.71,0.74,1
LYSP_ECOLI,0.34,0.51,0.48,0.5,0.67,0.9,0.9,1
MALF_ECOLI,0.63,0.54,0.48,0.5,0.65,0.79,0.81,1
MALG_ECOLI,0.7,0.4,0.48,0.5,0.56,0.86,0.83,1
MCP3_ECOLI,0.6,0.5,1,0.5,0.54,0.77,0.8,1
MSBB_ECOLI,0.16,0.51,0.48,0.5,0.33,0.39,0.48,1
MTR_ECOLI,0.74,0.7,0.48,0.5,0.66,0.65,0.69,1
NANT_ECOLI,0.2,0.46,0.48,0.5,0.57,0.78,0.81,1
NHAA_ECOLI,0.89,0.55,0.48,0.5,0.51,0.72,0.76,1
NHAB_ECOLI,0.7,0.46,0.48,0.5,0.56,0.78,0.73,1
PHEP_ECOLI,0.12,0.43,0.48,0.5,0.63,0.7,0.74,1
PHOR_ECOLI,0.61,0.52,0.48,0.5,0.54,0.67,0.52,1
PNTA_ECOLI,0.33,0.37,0.48,0.5,0.46,0.65,0.69,1
POTE_ECOLI,0.63,0.65,0.48,0.5,0.66,0.67,0.71,1
PROP_ECOLI,0.41,0.51,0.48,0.5,0.53,0.75,0.78,1
PSTA_ECOLI,0.34,0.67,0.48,0.5,0.52,0.76,0.79,1
PSTC_ECOLI,0.58,0.34,0.48,0.5,0.56,0.87,0.81,1
PTAA_ECOLI,0.59,0.56,0.48,0.5,0.55,0.8,0.82,1
PTBA_ECOLI,0.51,0.4,0.48,0.5,0.57,0.62,0.67,1
PTCC_ECOLI,0.5,0.57,0.48,0.5,0.71,0.61,0.66,1
PTDA_ECOLI,0.6,0.46,0.48,0.5,0.45,0.81,0.83,1
PTFB_ECOLI,0.37,0.47,0.48,0.5,0.39,0.76,0.79,1
PTGB_ECOLI,0.58,0.55,0.48,0.5,0.57,0.7,0.74,1
PTHB_ECOLI,0.36,0.47,0.48,0.5,0.51,0.69,0.72,1
PTMA_ECOLI,0.39,0.41,0.48,0.5,0.52,0.72,0.75,1
PTOA_ECOLI,0.35,0.51,0.48,0.5,0.61,0.71,0.74,1
PTTB_ECOLI,0.31,0.44,0.48,0.5,0.5,0.79,0.82,1
RODA_ECOLI,0.61,0.66,0.48,0.5,0.46,0.87,0.88,1
SECE_ECOLI,0.48,0.49,0.48,0.5,0.52,0.77,0.71,1
SECF_ECOLI,0.11,0.5,0.48,0.5,0.58,0.72,0.68,1
SECY_ECOLI,0.31,0.36,0.48,0.5,0.58,0.94,0.94,1
TNAB_ECOLI,0.68,0.51,0.48,0.5,0.71,0.75,0.78,1
XYLE_ECOLI,0.69,0.39,0.48,0.5,0.57,0.76,0.79,1
YCEE_ECOLI,0.52,0.54,0.48,0.5,0.62,0.76,0.79,1
EXBD_ECOLI,0.46,0.59,0.48,0.5,0.36,0.76,0.23,1
FTSL_ECOLI,0.36,0.45,0.48,0.5,0.38,0.79,0.17,1
FTSN_ECOLI,0,0.51,0.48,0.5,0.35,0.67,0.44,1
FTSQ_ECOLI,0.1,0.49,0.48,0.5,0.41,0.67,0.21,1
MOTB_ECOLI,0.3,0.51,0.48,0.5,0.42,0.61,0.34,1
TOLA_ECOLI,0.61,0.47,0.48,0.5,0,0.8,0.32,1
TOLQ_ECOLI,0.63,0.75,0.48,0.5,0.64,0.73,0.66,1
EMRB_ECOLI,0.71,0.52,0.48,0.5,0.64,1,0.99,1
ATKC_ECOLI,0.85,0.53,0.48,0.5,0.53,0.52,0.35,2
NFRB_ECOLI,0.63,0.49,0.48,0.5,0.54,0.76,0.79,2
NLPA_ECOLI,0.75,0.55,1,1,0.4,0.47,0.3,3
CYOA_ECOLI,0.7,0.39,1,0.5,0.51,0.82,0.84,3
ATKA_ECOLI,0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
BCR_ECOLI,0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
CADB_ECOLI,0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
CAIT_ECOLI,0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
CPXA_ECOLI,0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
CRED_ECOLI,0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
CYDB_ECOLI,0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
CYOB_ECOLI,0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
CYOE_ECOLI,0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
DMSC_ECOLI,0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
DPPB_ECOLI,0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
DSBD_ECOLI,0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
FEPD_ECOLI,0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
FEPG_ECOLI,0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
FTSH_ECOLI,0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
GLTS_ECOLI,0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
KEFC_ECOLI,0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
KUP_ECOLI,0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
MCP1_ECOLI,0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
MCP2_ECOLI,0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
MCP4_ECOLI,0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
MELB_ECOLI,0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
MOTA_ECOLI,0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
NUPC_ECOLI,0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
NUPG_ECOLI,0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
PNTB_ECOLI,0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
PTKC_ECOLI,0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
RHAT_ECOLI,0.49,0.61,1,0.5,0.56,0.71,0.74,4
SECD_ECOLI,0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
SECG_ECOLI,0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
TEHA_ECOLI,0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
TYRP_ECOLI,0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
UHPB_ECOLI,0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
TONB_ECOLI,0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
LEP_ECOLI,0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
FADL_ECOLI,0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
FHUA_ECOLI,0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
LAMB_ECOLI,0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
NFRA_ECOLI,0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
NMPC_ECOLI,0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
OMPA_ECOLI,0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
OMPC_ECOLI,0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
OMPF_ECOLI,0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
OMPX_ECOLI,0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
PHOE_ECOLI,0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
TSX_ECOLI,0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
BTUB_ECOLI,0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
CIRA_ECOLI,0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
FECA_ECOLI,0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
FEPA_ECOLI,0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
FHUE_ECOLI,0.6,0.76,1,0.5,0.77,0.59,0.52,5
OMPP_ECOLI,0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
OMPT_ECOLI,0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
TOLC_ECOLI,0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
PA1_ECOLI,0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
MULI_ECOLI,0.77,0.57,1,0.5,0.37,0.54,0.01,6
NLPB_ECOLI,0.66,0.49,1,0.5,0.54,0.56,0.36,6
NLPE_ECOLI,0.71,0.46,1,0.5,0.52,0.59,0.3,6
PAL_ECOLI,0.67,0.55,1,0.5,0.66,0.58,0.16,6
SLP_ECOLI,0.68,0.49,1,0.5,0.62,0.55,0.28,6
AGP_ECOLI,0.74,0.49,0.48,0.5,0.42,0.54,0.36,7
AMY1_ECOLI,0.7,0.61,0.48,0.5,0.56,0.52,0.43,7
ARAF_ECOLI,0.66,0.86,0.48,0.5,0.34,0.41,0.36,7
ASG2_ECOLI,0.73,0.78,0.48,0.5,0.58,0.51,0.31,7
BGLX_ECOLI,0.65,0.57,0.48,0.5,0.47,0.47,0.51,7
C562_ECOLI,0.72,0.86,0.48,0.5,0.17,0.55,0.21,7
CN16_ECOLI,0.67,0.7,0.48,0.5,0.46,0.45,0.33,7
CYPH_ECOLI,0.67,0.81,0.48,0.5,0.54,0.49,0.23,7
CYSP_ECOLI,0.67,0.61,0.48,0.5,0.51,0.37,0.38,7
DGAL_ECOLI,0.63,1,0.48,0.5,0.35,0.51,0.49,7
DPPA_ECOLI,0.57,0.59,0.48,0.5,0.39,0.47,0.33,7
DSBA_ECOLI,0.71,0.71,0.48,0.5,0.4,0.54,0.39,7
DSBC_ECOLI,0.66,0.74,0.48,0.5,0.31,0.38,0.43,7
ECOT_ECOLI,0.67,0.81,0.48,0.5,0.25,0.42,0.25,7
ECPD_ECOLI,0.64,0.72,0.48,0.5,0.49,0.42,0.19,7
FECB_ECOLI,0.68,0.82,0.48,0.5,0.38,0.65,0.56,7
FECR_ECOLI,0.32,0.39,0.48,0.5,0.53,0.28,0.38,7
FEPB_ECOLI,0.7,0.64,0.48,0.5,0.47,0.51,0.47,7
FIMC_ECOLI,0.63,0.57,0.48,0.5,0.49,0.7,0.2,7
GGT_ECOLI,0.74,0.82,0.48,0.5,0.49,0.49,0.41,7
GLNH_ECOLI,0.63,0.86,0.48,0.5,0.39,0.47,0.34,7
GLPQ_ECOLI,0.63,0.83,0.48,0.5,0.4,0.39,0.19,7
HTRA_ECOLI,0.63,0.71,0.48,0.5,0.6,0.4,0.39,7
LIVJ_ECOLI,0.71,0.86,0.48,0.5,0.4,0.54,0.32,7
LIVK_ECOLI,0.68,0.78,0.48,0.5,0.43,0.44,0.42,7
MALE_ECOLI,0.64,0.84,0.48,0.5,0.37,0.45,0.4,7
MALM_ECOLI,0.74,0.47,0.48,0.5,0.5,0.57,0.42,7
MEPA_ECOLI,0.75,0.84,0.48,0.5,0.35,0.52,0.33,7
MODA_ECOLI,0.63,0.65,0.48,0.5,0.39,0.44,0.35,7
NRFA_ECOLI,0.69,0.67,0.48,0.5,0.3,0.39,0.24,7
NRFF_ECOLI,0.7,0.71,0.48,0.5,0.42,0.84,0.85,7
OPPA_ECOLI,0.69,0.8,0.48,0.5,0.46,0.57,0.26,7
OSMY_ECOLI,0.64,0.66,0.48,0.5,0.41,0.39,0.2,7
POTD_ECOLI,0.63,0.8,0.48,0.5,0.46,0.31,0.29,7
POTF_ECOLI,0.66,0.71,0.48,0.5,0.41,0.5,0.35,7
PPA_ECOLI,0.69,0.59,0.48,0.5,0.46,0.44,0.52,7
PPB_ECOLI,0.68,0.67,0.48,0.5,0.49,0.4,0.34,7
PROX_ECOLI,0.64,0.78,0.48,0.5,0.5,0.36,0.38,7
PSTS_ECOLI,0.62,0.78,0.48,0.5,0.47,0.49,0.54,7
PTR_ECOLI,0.76,0.73,0.48,0.5,0.44,0.39,0.39,7
RBSB_ECOLI,0.64,0.81,0.48,0.5,0.37,0.39,0.44,7
SPEA_ECOLI,0.29,0.39,0.48,0.5,0.52,0.4,0.48,7
SUBI_ECOLI,0.62,0.83,0.48,0.5,0.46,0.36,0.4,7
TBPA_ECOLI,0.56,0.54,0.48,0.5,0.43,0.37,0.3,7
TESA_ECOLI,0.69,0.66,0.48,0.5,0.41,0.5,0.25,7
TOLB_ECOLI,0.69,0.65,0.48,0.5,0.63,0.48,0.41,7
TORA_ECOLI,0.43,0.59,0.48,0.5,0.52,0.49,0.56,7
TREA_ECOLI,0.74,0.56,0.48,0.5,0.47,0.68,0.3,7
UGPB_ECOLI,0.71,0.57,0.48,0.5,0.48,0.35,0.32,7
USHA_ECOLI,0.61,0.6,0.48,0.5,0.44,0.39,0.38,7
XYLF_ECOLI,0.59,0.61,0.48,0.5,0.42,0.42,0.37,7
YTFQ_ECOLI,0.74,0.74,0.48,0.5,0.31,0.53,0.52,7
